waveform	Ch0		Gen	
t0	3/17/2021  13:06:45.102783		3/17/2021  13:06:45.102785	
delta t	5.000000E-6		5.000000E-6	

time[0]	Ch0	time[1]	Gen
3/17/2021  13:06:45.103728	7.840729E-1	3/17/2021  13:06:45.103730	2.069406E-1
3/17/2021  13:06:45.103733	7.101400E-1	3/17/2021  13:06:45.103735	1.421272E-1
3/17/2021  13:06:45.103738	6.355558E-1	3/17/2021  13:06:45.103740	7.959364E-2
3/17/2021  13:06:45.103743	5.586916E-1	3/17/2021  13:06:45.103745	2.096846E-2
3/17/2021  13:06:45.103748	4.808504E-1	3/17/2021  13:06:45.103750	-3.277128E-2
3/17/2021  13:06:45.103753	4.036606E-1	3/17/2021  13:06:45.103755	-6.273526E-2
3/17/2021  13:06:45.103758	3.248423E-1	3/17/2021  13:06:45.103760	-8.344127E-3
3/17/2021  13:06:45.103763	2.479782E-1	3/17/2021  13:06:45.103765	-2.807304E-3
3/17/2021  13:06:45.103768	1.698113E-1	3/17/2021  13:06:45.103770	-2.481609E-3
3/17/2021  13:06:45.103773	9.197007E-2	3/17/2021  13:06:45.103775	-1.830218E-3
3/17/2021  13:06:45.103778	1.380316E-2	3/17/2021  13:06:45.103780	-2.155913E-3
3/17/2021  13:06:45.103783	-6.631791E-2	3/17/2021  13:06:45.103785	-1.830218E-3
3/17/2021  13:06:45.103788	-1.438334E-1	3/17/2021  13:06:45.103790	-2.807304E-3
3/17/2021  13:06:45.103793	-2.213489E-1	3/17/2021  13:06:45.103795	-2.807304E-3
3/17/2021  13:06:45.103798	-3.001672E-1	3/17/2021  13:06:45.103800	-1.504522E-3
3/17/2021  13:06:45.103803	-3.780084E-1	3/17/2021  13:06:45.103805	-2.481609E-3
3/17/2021  13:06:45.103808	-4.551983E-1	3/17/2021  13:06:45.103810	-3.458695E-3
3/17/2021  13:06:45.103813	-5.327138E-1	3/17/2021  13:06:45.103815	-2.155913E-3
3/17/2021  13:06:45.103818	-6.079494E-1	3/17/2021  13:06:45.103820	-3.458695E-3
3/17/2021  13:06:45.103823	-6.844879E-1	3/17/2021  13:06:45.103825	-1.830218E-3
3/17/2021  13:06:45.103828	-7.607006E-1	3/17/2021  13:06:45.103830	-2.807304E-3
3/17/2021  13:06:45.103833	-8.343078E-1	3/17/2021  13:06:45.103835	-3.458695E-3
3/17/2021  13:06:45.103838	-9.085663E-1	3/17/2021  13:06:45.103840	-3.133000E-3
3/17/2021  13:06:45.103843	-9.808707E-1	3/17/2021  13:06:45.103845	-2.155913E-3
3/17/2021  13:06:45.103848	-1.052524E+0	3/17/2021  13:06:45.103850	-2.807304E-3
3/17/2021  13:06:45.103853	-1.123200E+0	3/17/2021  13:06:45.103855	-2.155913E-3
3/17/2021  13:06:45.103858	-1.192573E+0	3/17/2021  13:06:45.103860	-1.830218E-3
3/17/2021  13:06:45.103863	-1.260969E+0	3/17/2021  13:06:45.103865	-2.481609E-3
3/17/2021  13:06:45.103868	-1.328062E+0	3/17/2021  13:06:45.103870	-2.481609E-3
3/17/2021  13:06:45.103873	-1.393853E+0	3/17/2021  13:06:45.103875	-2.481609E-3
3/17/2021  13:06:45.103878	-1.458340E+0	3/17/2021  13:06:45.103880	-2.481609E-3
3/17/2021  13:06:45.103883	-1.522502E+0	3/17/2021  13:06:45.103885	-2.481609E-3
3/17/2021  13:06:45.103888	-1.584059E+0	3/17/2021  13:06:45.103890	-2.481609E-3
3/17/2021  13:06:45.103893	-1.643010E+0	3/17/2021  13:06:45.103895	-2.481609E-3
3/17/2021  13:06:45.103898	-1.701635E+0	3/17/2021  13:06:45.103900	-2.481609E-3
3/17/2021  13:06:45.103903	-1.759283E+0	3/17/2021  13:06:45.103905	-2.807304E-3
3/17/2021  13:06:45.103908	-1.812371E+0	3/17/2021  13:06:45.103910	-3.133000E-3
3/17/2021  13:06:45.103913	-1.866437E+0	3/17/2021  13:06:45.103915	-1.830218E-3
3/17/2021  13:06:45.103918	-1.918548E+0	3/17/2021  13:06:45.103920	-3.133000E-3
3/17/2021  13:06:45.103923	-1.968054E+0	3/17/2021  13:06:45.103925	-2.481609E-3
3/17/2021  13:06:45.103928	-2.015931E+0	3/17/2021  13:06:45.103930	-2.481609E-3
3/17/2021  13:06:45.103933	-2.060551E+0	3/17/2021  13:06:45.103935	-2.481609E-3
3/17/2021  13:06:45.103938	-2.104194E+0	3/17/2021  13:06:45.103940	-2.155913E-3
3/17/2021  13:06:45.103943	-2.145558E+0	3/17/2021  13:06:45.103945	-2.155913E-3
3/17/2021  13:06:45.103948	-2.184315E+0	3/17/2021  13:06:45.103950	-3.784390E-3
